STATE,INSTITUTE_COUNT
Tamil Nadu,34
Delhi,7
Maharashtra,22
Uttar Pradesh,11
West Bengal,8
Uttarakhand,4
Assam,3
Madhya Pradesh,5
Odisha,7
Gujarat,7
Punjab,8
Bihar,2
Andhra Pradesh,10
Meghalaya,1
Chandigarh,2
Jammu and Kashmir,1
Rajasthan,4
Himachal Pradesh,4
Tripura,1
Telangana,15
Jharkhand,4
Karnataka,21
Haryana,6
Chhattisgarh,1
Goa,1
Arunachal Pradesh,2
Manipur,1
Kerala,6
Pondicherry,2
