ENGINEERING_INSTITUTE,ARCHITECTURE_INSTITUTE,ENGINEERING_RANK,ARCHITECTURE_RANK
Indian Institute of Technology KharagpurMore Details |  |,Indian Institute of Technology KharagpurMore Details |  |,5,1
Indian Institute of Technology KharagpurMore Details |  |,Indian Institute of Engineering Science and TechnologyMore Details |  |,5,6
Jadavpur UniversityMore Details |  |,Indian Institute of Technology KharagpurMore Details |  |,17,1
